Blocks,Consumption
"""1-10"",",0
"""11-20"",",62.86928799
"""21-30"",",185.912839
"""31-40"",",305.845116
"""41-50"",",426.3280231
"""51-60"",",546.5680892
"""61-70"",",666.2366247
"""71-80"",",786.4720735
"""81-90"",",905.8161514
"""91-100"",",1025.707371
"""101-110"",",1146.931895
"""111-120"",",1266.37287
"""121-130"",",1386.106057
"""131-140"",",1506.42294
"""141-150"",",1625.963024
"""141-150"",",1746.506024
"""151-160"",",1866.446816
"""161-170"",",1986.241635
"""171-180"",",2105.799871
"""181-200"",",2284.986631
"""201-210"",",2466.419177
"""211-240"",",2701.685561
"""241-300"",",3235.889153
"""301-360"",",3953.292903
"""361-420"",",4672.193221
"""421-480"",",5392.214053
"""481-540"",",6114.737763
"""541-600"",",6841.15255
"""601-900"",",8824.958821
"""901-1000"",",11391.34121
"""1001-2000"",",16824.00034
"""2001-3000"",",29262.55616
"""3001-5000"",",46025.63279
"""5001-10000"",",80161.36759
"""10001-99999999""",163447.4168
